Storeid,StoreName,State,Date,VALUE,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower
30355,IGA TRIABUNNA,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30262,IGA ORFORD,TAS,2/7/2025,461.78,0,0,0,0,0,0,459.78,0,0,0,0,0,0,0,0,0,2,0,0,0
30538,IGA EVERDAY NUBEENA,TAS,2/7/2025,230.89,0,0,0,0,0,0,229.89,0,0,0,0,0,0,0,0,0,1,0,0,0
30263,IGA ULVERSTONE,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30286,IGA XPRESS BRANXHOLM,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30362,IGA DOVER,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30382,IGA OATLANDS ROXY,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
3019,FOODWORKS EAST DEVONPORT (TAS),TAS,2/7/2025,230.89,0,0,0,0,0,0,229.89,0,0,0,0,0,0,0,0,0,1,0,0,0
30571,IGA LILYDALE (TAS),TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30621,IGA GEORGE TOWN,TAS,2/7/2025,230.89,0,0,0,0,0,0,229.89,0,0,0,0,0,0,0,0,0,1,0,0,0
30781,IGA XPRESS SOUTH RIANA,TAS,2/7/2025,231.89,500.36,0,0,0,0,0,229.89,0,0,0,1,0,0,0,0,0,1,0,0,0
30333,IGA BRIGHTON TAS,TAS,3/7/2025,411.17,1000.72,568.53,0,0,0,121.33,229.89,0,53.95,0,2,1,0,0,0,1,1,0,1,0
30133,IGA RICHMOND,TAS,3/7/2025,62.61305839,500.36,568.53,0,0,0,0,0,0,59.51,0,1,1,0,0,0,0,0,0,1.103058387,0
30346,BAXTERS IGA SNUG,TAS,3/7/2025,415.8330584,500.36,568.53,0,0,0,121.33,229.89,0,59.51,0,1,1,0,0,0,1,1,0,1.103058387,0
30356,BAXTERS IGA SANDY BAY,TAS,3/7/2025,415.8330584,500.36,568.53,0,0,0,121.33,229.89,0,59.51,0,1,1,0,0,0,1,1,0,1.103058387,0
30363,IGA EVERYDAY SWANSEA,TAS,3/7/2025,246.66,500.36,568.53,0,0,0,242.66,0,0,0,0,1,1,0,0,0,2,0,0,0,0
30377,IGA ST HELENS,TAS,3/7/2025,125.33,1000.72,568.53,0,0,0,121.33,0,0,0,0,2,1,0,0,0,1,0,0,0,0
30666,IGA - BAY OF FIRES ST HELENS,TAS,4/7/2025,126.33,1000.72,1137.06,0,0,0,121.33,0,0,0,0,2,2,0,0,0,1,0,0,0,0
14705,IGA MANSFIELD MARKS 378414,VIC,18/6/2025,2225.989,1000.72,1137.06,659.32,908.46,0,121.33,229.89,141.76,64.74,86.289,2,2,2,2,0,1,1,2,1.2,1
15120,SUPA IGA FITZROY NORTH PIEDIMONTE 425728,VIC,19/6/2025,1473.015117,1000.72,1137.06,329.66,454.23,53.01,242.66,229.89,0,65.07,86.289,2,2,1,1,1,2,1,0,1.206116775,1
18232,FOODWORKS INVERLOCH  195420,VIC,20/6/2025,360.750326,1000.72,568.53,0,0,0,0,229.89,0,57.81,67.2,2,1,0,0,0,0,1,0,1.071547729,0.778778292
10890,FOODWORKS BUNINYONG 968180,VIC,23/6/2025,922.2674245,500.36,568.53,0,0,0,121.33,229.89,283.52,188.74,86.289,1,1,0,0,0,1,1,4,3.498424467,1
19071,SUPA IGA GISBORNE (MORGANS)  404509,VIC,30/6/2025,1788.266117,1000.72,1137.06,659.32,454.23,53.01,242.66,229.89,70.88,65.07,0,2,2,2,1,1,2,1,1,1.206116775,0
