Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
871079,McKenzie’s Home Hardware (Lake Grace),Home,-16.15%,-7.88%,-15.92%,-35.45%,0.00%
871087,Richos Rural (Walcha),-,-96.50%,-100.00%,-98.79%,-57.71%,
871111,Watheroo Rural Traders (Watheroo),-,76.71%,55.33%,59.68%,574.26%,
871145,Tamarang Mitre 10 (Quirindi),-,117.48%,-,105.06%,11.50%,
871152,Roxby Downs Mitre 10 (Roxby Downs),Mitre 10,58.80%,81.52%,62.44%,19.23%,
871202,Ravensthorpe Building Supplies (Ravensthorpe),-,-20.18%,-68.10%,-1.63%,-100.00%,
871210,Gidge Rural (Gidgegannup),-,18.08%,,6.54%,-,0.00%
871228,Inspirations Paint Atherton (Atherton),-,0.00%,,0.00%,,
871236,Bundall Mitre 10 (Bundall),Mitre 10,34.51%,-4.12%,28.04%,165.21%,
871251,King Island Iga Plus Liquor (Currie),True Value,21.59%,28.91%,-25.12%,21.54%,
871384,Sunlite Mitre 10 (Peakhurst),Mitre 10,5.92%,-2.97%,7.66%,8.91%,0.00%
871400,Lockington Foodworks (Lockington),Thrifty,-70.50%,-63.39%,-100.00%,,
871426,Pursehouse Rural (Stanthorpe),Home,7.75%,-18.39%,9.12%,12.14%,
871434,Pursehouse Rural Pty Ltd Thrifty Link Inglewood (Inglewood),Thrifty,-23.84%,-22.00%,-17.21%,-44.25%,
871442,Pursehouse Rural Pty Ltd (Deepwater),-,-14.13%,100.00%,-19.34%,,
871459,Hudson Trade Distribution Centre (St Marys),Mitre 10,-,-,,,
871467,Bungendore Mitre 10 (Bungendore),Thrifty,88.76%,27.74%,120.05%,16.08%,
871491,Champions Iga Inglewood (Inglewood),Mitre 10,-27.14%,-35.50%,-24.33%,-20.95%,
871517,Benham General Building Supplies (Pinnaroo),-,-,,-,,
871533,Conway Rural (Canowindra),-,120.64%,77.56%,111.47%,-,
871541,Thargomindah General Store (Thargomindah),-,339.41%,339.41%,,,
871566,Log Cabin Bicheno (Bicheno),-,-,,,-,
871574,Murray Valley Bearings & Hardware Supplies Pty Ltd (Swan Hill),Home,-21.69%,10.09%,-23.74%,-0.16%,
871590,Bowen Home Hardware (F&T) (Bowen),Home,-2.91%,-13.81%,2.31%,-21.29%,
871608,Prom Coast Flooring (Foster),-,-54.32%,-61.79%,-55.32%,-38.85%,
871616,Tabulam Rural Agents (Tabulam),-,39.02%,30.71%,55.57%,27.31%,
871624,Rolleston Ag Traders (Rolleston),-,-,-,-,,
871632,Hicks Glen Innes Hardware (Glen Innes),Mitre 10,-1.61%,-10.96%,-2.12%,7.92%,
871640,Whyalla Garden Centre (Whyalla),-,-60.41%,,-60.41%,,
871657,Summers Hardware Werris Creek (Werris Creek),-,831.89%,757.55%,-,,
871665,Fish Creek Hardware Store (Fish Creek),-,-17.63%,-26.67%,,0.00%,
871699,W.B. Hunter Pty Ltd (Nagambie) (Nagambie),Mitre 10,2696.40%,,-,2310.46%,
871707,Total Rural Supplies- Rockhampton (Rockhampton),-,504.83%,916.90%,465.46%,464.43%,
871715,Tait Mitre 10 (Laverton North),Mitre 10,-,,-,,
871822,M&B Trade Centre (Dunsborough),Mitre 10,-,-,-,,
871871,North Tamborine Mitre 10 (North Tamborine),Mitre 10,59.53%,4.57%,43.08%,-,
871897,Bindoon Mitre 10 (Bindoon),Mitre 10,6.76%,-10.71%,39.72%,21.78%,-138.89%
871905,Riverton Hardware (Riverton),Thrifty,22.71%,87.78%,17.94%,-8.14%,
871913,South Eastern Home Hardware (Mallacoota),Home,1.44%,-76.24%,1.26%,46.44%,
871921,Parkes Mitre 10 (Parkes),Mitre 10,-,-,-,,
871939,Walpole Hardware Emporium (Walpole),Thrifty,-13.49%,-51.79%,-5.54%,100.70%,
871954,M&B Mitre 10 (Margaret River),Mitre 10,-12.27%,-29.01%,-10.70%,-18.32%,0.00%
871962,Queenstown Marketplace (Queenstown),-,73.39%,151.14%,23.11%,33.37%,
871970,Mooloolah Valley Mitre 10 (Mooloolah),Mitre 10,66.51%,12.91%,70.62%,256.11%,
871988,Oakford Agricultural And Garden Supplies (Oakford),-,-73.26%,-100.00%,-69.73%,-100.00%,
872028,Ayton General Store (Ayton),-,-,-,,-,
872127,Hurleys Hardware (Rupanyup) (Rupanyup),-,-33.41%,-47.39%,-35.71%,-12.50%,
872135,Hurleys Hardware (Murtoa) (Murtoa),Thrifty,1243.42%,-,1174.49%,-,
872150,Bombala Hardware (Bombala),-,-22.57%,-46.60%,-12.08%,-23.25%,
872184,Baileys Key Hardware Crows Nest (Crows Nest),-,695.84%,-,953.27%,-45.41%,
872200,Homestead Hardware (Jerramungup),-,-35.90%,-42.32%,-35.65%,130.68%,
872226,Australian Independent Rural Retailers - Terang (Terang),-,-,,-,,
872234,Katanning H Hardware (Katanning),-,-,-,,,
872267,Tait Mitre 10 (Somerville),Mitre 10,24.88%,-28.90%,36.99%,9.78%,
872283,Malanda Hardware (Malanda),-,-23.29%,3.05%,-33.30%,25.86%,
872291,Robe Mitre 10 (Robe),-,-10.53%,11.58%,-14.50%,-1.77%,
872317,Mary Valley Home Hardware (Imbil),-,-,-,-,-,
872325,New Norfolk Mitre 10 (New Norfolk),-,3.43%,-13.87%,8.23%,19.96%,
872333,Dimboola Mitre 10 (Dimboola),-,-,-,-,-,
872341,Richmond Mitre 10 Trade Centre (Richmond),-,-23.09%,,-10.04%,-100.00%,
872358,Danahers Mitre 10 (Heidelberg),-,-2.61%,-24.51%,-1.02%,2.34%,
872416,C&N Mitre 10 (Branxton),-,113.18%,56.27%,125.40%,73.72%,
872465,Mallee Timber & Hardware Swan Hill (Swan Hill),-,-,,-,,
872481,Borgys Place (Dunwich),-,41.85%,22.66%,49.39%,121.83%,
872499,Barkly Hardware & Rural Supplies (Tennant Creek),-,-13.30%,-1.46%,-14.36%,-27.82%,
872515,Bell Plaster And Building Supplies Pty Ltd (Pascoe Vale),-,-,,-,,
872523,Derrinallum Supermarket & Hardware (Derrinallum),-,-27.05%,-27.05%,,,
872531,Mervs Servo Windorah Pty Ltd (Windorah),-,-,-,-,,
872549,Bomaderry Mitre10 (Bomaderry),-,-7.78%,-39.20%,3.97%,31.52%,
872572,Cornwell's Mitre 10 Trade Centre (Lilydale),-,-,-,,,
872598,Rainbow Hardware (Rainbow Beach),-,-,-,-,-,
872614,Auto Farm Group Pty Ltd (Robinvale),-,25.06%,,21.00%,-,
872648,Grand Moolah Pty Ltd (Eidsvold),-,-100.00%,-100.00%,-100.00%,-100.00%,
872671,Village Hardware & Trade (Currumbin),-,43.88%,5.09%,58.23%,22.76%,
872713,Bishops Hardware & Building Supplies (Guyra),-,-3.76%,-24.65%,3.23%,-64.89%,
872739,Horrocks Mechanical & Hardware (Quinalow),-,-,,-,,
872754,Kurri Kurri Mitre 10 (Kurri Kurri),-,-56.33%,-65.77%,-55.84%,-46.48%,
872762,Burra Hardware (Burra),-,-8.50%,47.20%,-9.34%,-43.51%,
872770,Moses Mitre 10 (Temora),-,-,-,-,-,
872788,St Arnaud Mitre 10 (St Arnaud),-,-8.64%,-28.99%,-4.66%,-17.32%,
872820,Woodgate Beach Home Hardware & Earthworx (Woodgate),-,0.68%,21.48%,-2.12%,30.60%,
872838,Capeview Mitre 10 (Tarwin Lower),-,-16.02%,-42.24%,-11.59%,-23.44%,
872846,Capeview Mitre 10 (Inverloch),-,-10.44%,3.01%,-8.28%,-36.53%,
872853,Capeview Mitre 10 (Leongatha),-,-8.58%,-10.79%,-13.13%,12.27%,
872861,Capeview Mitre 10 (Wonthaggi),-,-17.48%,-40.55%,-14.40%,,
872879,Capeview Mitre 10 (Cowes),-,-9.48%,-43.65%,-3.12%,-23.24%,
872895,Murchison Outback Services Pty Ltd (Mount Magnet),-,-10.58%,-24.96%,-7.67%,-,
872911,Casey's Mitre 10 (Proserpine),-,578.52%,-,659.96%,257.37%,
872945,Marleys Landscape & Building Supplies (Russell Island),-,-,-,,,
872986,Dongara Mitre 10 (Dongara),-,-2.68%,-24.06%,11.60%,-26.62%,
872994,Romer & Son Pty Ltd (Tannum Sands),-,1210.63%,,1210.63%,,
873000,Holliman's Mitre 10 (Charters Towers),-,-8.74%,-35.52%,1.71%,-42.09%,0.00%
873018,Gove Home Hardware (Nhulunbuy),-,6.84%,17.00%,0.31%,12.97%,
873042,Frosts Timber & Building Supplies (Monegeetta),-,-24.27%,19.21%,-32.69%,,
873067,Finlayson Timber & Hardware (Cleveland),-,4.66%,-19.10%,3.02%,29.25%,-
873075,Kilmore Mitre 10 (Kilmore),-,-12.03%,-59.71%,-2.67%,-16.52%,
873109,Dalwallinu Mitre 10 (Dalwallinu),-,-4.17%,-23.23%,1.92%,-34.71%,
880088,Rex Paine Timber & Hardware Pty Ltd (Watsonia),-,62.94%,,62.94%,,
883496,Roberts Farm Supplies (Nullawarre),-,-10.59%,,-10.59%,,
896548,St Leonards Hardware (St Leonards),-,-51.50%,-25.12%,-54.97%,-44.46%,
898593,Scamander Supermarket (Scamander),-,545.21%,32.54%,1010.89%,-100.00%,
906404,Stoneman's Garden Centre (Nairne),-,29.98%,,28.89%,33.64%,
909309,Simmers & Company Pty Ltd (Williamstown),-,5.51%,,-3.42%,114.68%,
912303,A W Smith Home Timber & Hardware (Leongatha),Home,-17.94%,6.30%,-19.64%,-19.62%,
915181,Smiths Hardware (Leongatha),Home,-,,-,,
929463,Winchelsea Trading (Glenorchy),-,-58.50%,,-58.50%,,
935114,Swifts Creek Gen Store (Swifts Creek),-,-,,-,-,
936401,TM&H Mitre 10 (Moe),Mitre 10,-12.85%,-4.60%,-11.30%,-23.75%,
936856,Tait Mitre 10 (Glen Iris (Tooronga)),Mitre 10,-7.77%,-16.30%,-3.50%,-37.17%,
937052,George Tallis Home Timber & Hardware (Boort),Home,-4.65%,26.59%,-2.78%,-75.59%,0.00%
938845,Templestowe Timber & Hardware (Templestowe),-,79.71%,,79.71%,,
939256,Terang Co-Op Mitre 10 (Terang),Mitre 10,-12.15%,-26.55%,-6.23%,-29.62%,
950733,Ulverstone Home Timber & Hardware (West Ulverstone),Home,-40.50%,-3.39%,-45.76%,-19.88%,
953208,Vadoulis Garden Centre (Gawler),-,-86.10%,,-86.10%,,
954768,STY Metaland (Drysdale),-,-47.81%,,-47.81%,,
963413,Wallington Rural & Garden Supplies (Wallington),-,26.22%,49.47%,-5.44%,,
965780,Warrack Home Timber & Hardware (Warracknabeal),Home,32.93%,-8.43%,91.76%,-25.95%,
969311,Wedderburn Hardware (Wedderburn),Thrifty,2.11%,51.22%,-1.01%,-46.71%,
972901,West Park Plants Plus (Burnie),-,966.56%,-100.00%,-,,
977454,Brown Wigg Home Timber & Hardware (Sale),Home,-42.70%,,-42.70%,,
978304,SJ & JA Wild (Wilmington),Thrifty,10.40%,-,16.93%,-83.56%,
978403,Wild Dog Home Hardware (Apollo Bay),Home,-14.34%,-22.21%,-11.99%,-31.75%,
989707,Sheehan's Hardware (Yackandandah),-,16.76%,34.35%,12.62%,101.54%,
