Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
605048,D & H Hardware (Sunshine West),-,16.33%,,18.73%,0.00%,
605725,Dales Supermarket (Henty),-,-86.38%,-61.14%,-100.00%,-100.00%,
609297,Dave's Work 'N' Safety Gear (Renmark),Thrifty,-1.98%,,-4.00%,65.63%,
611905,Davies Home Timber & Hardware (Creswick),Home,-13.34%,-33.05%,-8.93%,-4.07%,8.57%
626572,Dodson's Electrical Timber & Hardware (Kaniva),Home,-7.41%,-14.22%,-7.60%,42.75%,
630335,Drouin Mitre10 (Drouin),Mitre 10,9.94%,-21.99%,17.13%,-17.57%,
636514,Lyal Eales Stores (Ararat),-,-1.63%,-71.39%,7.73%,-100.00%,
636522,Lyal Eales Stores (St Arnaud),-,2.93%,150.00%,0.86%,,
636530,Lyal Eales Stores (Stawell),-,-77.61%,-100.00%,-73.95%,-100.00%,
636548,Lyal Eales Stores (Maryborough),-,-32.53%,-14.34%,-15.02%,-82.62%,
637272,Earls Hardware (St Kilda),Thrifty,-15.01%,42.87%,-15.91%,-25.58%,
640854,Edenhope Department Store (Edenhope),Thrifty,-10.83%,0.26%,74.56%,-72.77%,
645457,Eltham Home Timber & Hardware (Eltham),Home,-18.14%,3.67%,-18.66%,-27.44%,
653659,Farmer Johns (Nuriootpa),-,23.65%,-85.71%,170.86%,,
656769,Finley Hardware (Finley),-,25.03%,-,-0.51%,9.17%,
658153,Fitzpatrick's Home Timber & Hardware (California Gully),Home,-62.80%,-58.29%,-64.19%,-56.94%,
658914,Tait Mitre 10 (Syndal (Mt Waverley)),Mitre 10,-100.00%,,-100.00%,-100.00%,
661520,Tait Mitre 10 (Footscray),Mitre 10,-53.48%,-100.00%,-47.03%,-100.00%,
670000,Garden Grove Supplies (Golden Grove),-,-8.33%,-9.37%,-7.40%,-33.21%,
679217,Globe Mitre 10 (Broken Hill),Mitre 10,-15.86%,6.90%,-13.25%,-34.44%,
680553,J Golsworthy & Sons Home Timber & Hardware (Mortlake),Home,2.41%,92.22%,6.00%,-100.00%,
684001,Vern Graham Mitre 10 (Heyfield),Mitre 10,-5.33%,-14.43%,-5.70%,4.72%,
686105,Graylings Store (Newtown),-,-69.32%,,-69.32%,,
690776,Becks Mitre 10 (Wivenhoe (Burnie)),Mitre 10,-27.23%,,-20.91%,-100.00%,
690784,Becks Mitre 10 (Devonport),Mitre 10,-8.24%,-0.90%,-5.99%,-27.62%,
690826,Becks Mitre 10 (Launceston),Mitre 10,-6.90%,-14.01%,-3.50%,-17.49%,
690834,Becks Mitre 10 (Port Sorell),Mitre 10,-6.98%,-10.18%,-2.58%,-23.68%,
690842,Becks Mitre 10 (Ulverstone),Mitre 10,7.42%,-2.15%,3.59%,111.66%,
699405,Harmony Garden Centre (Lauderdale),-,112.35%,,112.35%,,
700534,G H Harrison & Sons (Hay),-,-100.00%,-100.00%,-100.00%,-100.00%,
708354,Heywood Home Timber & Hardware (Heywood),Home,-20.47%,-24.40%,-13.48%,-43.49%,0.00%
710723,Hines Hardware (Magill),-,0.99%,28.55%,-11.42%,360.04%,
715102,Nhill Home Timber & Hardware (Nhill),Home,-4.08%,-18.72%,-2.75%,3.70%,
721019,Hume & Iser Mitre 10 (Bendigo),Mitre 10,-6.60%,-6.88%,-4.62%,-20.09%,
723064,Hunter’s Mitre 10 (Shepparton),Mitre 10,-3.41%,23.01%,-7.32%,-9.37%,
723114,WB Hunter (Echuca),Home,-3.10%,-46.13%,-0.91%,-6.91%,
723213,WB Hunter (Tatura),Mitre 10,21.26%,56.86%,20.36%,-10.60%,
723312,WB Hunter (Corowa),Mitre 10,-30.02%,,-30.02%,,
