Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
IGA M DENMAN PROSPECT + LIQUOR,205940,DENMAN,NSW,2328,975,IGA Medium,B & K BHINDER,,,,,,,,,,,
SUPA VALU ROMEOS DOONSIDE,19366,DOONSIDE,NSW,2767,3,IGA Large,ROMEO,,,,,,,,,,,
IGA LG DOONSIDE NTH,53322,DOONSIDE,NSW,2767,1195,IGA Local Grocer,,,,,,,,,,,,
FGRC DORA CREEK,270439,DORA CREEK,NSW,2264,1740,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER DORRIGO,4459,DORRIGO,NSW,2453,1013,IGA Local Grocer,RAJ GROUP,,,,,,,,,,,
IGA M DRUMMOYNE PLUS CBN,22017,DRUMMOYNE,NSW,2047,419,IGA Medium,LUJIC,,,,,,,,,,,
IGA M DUBBO PLUS LIQUOR (ASHCROFTS),20133,DUBBO,NSW,2830,325,IGA Medium,ASHCROFT,,,,,,,,,,,
TEN TOPS DUBBO,239146,DUBBO,NSW,2830,2170,Independents Other,ten tops-bernar,,,,,,,,,,,
IGA M WEST DUBBO,13631,DUBBO,NSW,2830,936,IGA Medium,SUMMERS GROUP,,,,,,,,,,,
IGA M DULWICH HILL,32864,DULWICH HILL,NSW,2203,338,IGA Medium,,,,,,,,,,,,
IGA M LOVEYS DUNGOG,9216,DUNGOG,NSW,2420,230,IGA Medium,LOVEGROVE,,,,,,,,,,,
IGA LOCAL GROCER DURAL,17683,DURAL,NSW,2158,1479,IGA Local Grocer,-,,,,,,,,,,,
IGA M EAST ALBURY PLUS LIQUOR,5458,EAST ALBURY,NSW,2640,246,IGA Medium,MALWA,,,,,,,,,,,
FOODWORKS EAST BALLINA,20879,EAST BALLINA,NSW,2478,1679,Foodworks,,,,,,,,,,,,
FWKS EAST CORRIMAL,4502,EAST CORRIMAL,NSW,2518,1206,Foodworks,RABAY,,,,,,,,,,,
IGA M EAST GOSFORD,19138,EAST GOSFORD,NSW,2250,1110,IGA Medium,MALWA,,,,,,,,,,,
IGA LOCAL GROCER EAST LINDFIELD PLUS LIQUOR,41121,EAST LINDFIELD,NSW,2070,1580,IGA Local Grocer,KAUR,,,,,,,,,,,
FOODWORKS EAST MAITLAND,6994,EAST MAITLAND,NSW,2323,1485,Foodworks,PSC FOODMART,,,,,,,,,,,
IGA M EDEN PLUS LIQUOR,19819,EDEN,NSW,2551,888,IGA Medium,,,,,,,,,,,,
IGA M ELANORA HEIGHTS,14420,ELANORA HEIGHTS,NSW,2101,847,IGA Medium,ZHANG AND LIANG,,,,,,,,,,,
IGA L ELERMORE VALE (RITCHIES),80804,ELERMORE VALE,NSW,2287,284,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER EMPIRE BAY,38712,EMPIRE BAY,NSW,2257,1895,Friendly Grocer,,,,,,,,,,,,
CAMPUS & CO EMU PLAINS,228102,EMU PLAINS,NSW,2750,2040,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER ENFIELD,5541,ENFIELD,NSW,2136,1813,IGA Local Grocer,,,,,,,,,,,,
WHOLEFARMS MARKET ENFIELD,103542,ENFIELD,NSW,2136,1304,Foodworks,,,,,,,,,,,,
CAMPUS & CO ENGADINE FWKS,271561,ENGADINE,NSW,2233,2160,Foodworks,,,,,,,,,,,,
FOODWORKS ENMORE,6946,ENMORE,NSW,2042,1994,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER ENMORE,6033,ENMORE,NSW,2042,1030,IGA Local Grocer,,,,,,,,,,,,
IGA LG NOVEL FRESH EPPING,252344,EPPING,NSW,2121,1328,IGA Local Grocer,RIZK,,,,,,,,,,,
IGA L+ LIQ ERINA (RITCHIES),40986,ERINA,NSW,2250,793,IGA Large,RITCHIES,,,,,,,,,,,
IGA M ERINA HEIGHTS (RITCHIES),53358,ERINA HEIGHTS,NSW,2260,220,IGA Medium,RITCHIES,,,,,,,,,,,
IGA L ERSKINE PARK (ASHCROFT),32600,ERSKINE PARK,NSW,2759,292,IGA Large,ASHCROFT,,,,,,,,,,,
FWKS ESTELLA,126818,ESTELLA,NSW,2650,467,Foodworks,REDDROPS,,,,,,,,,,,
IGA M ETTALONG,11823,ETTALONG BEACH,NSW,2257,772,IGA Medium,HARSH PATEL,,,,,,,,,,,
FGRC EUGOWRA,254213,EUGOWRA,NSW,2806,2202,Friendly Grocer,,,,,,,,,,,,
IGA M EVANS HEAD (RITCHIES),43121,EVANS HEAD,NSW,2473,116,IGA Medium,RITCHIES,,,,,,,,,,,
IGA M ROMEO'S FOODHALL SOUTH EVELEIGH,211128,EVELEIGH,NSW,2015,599,IGA Medium,ROMEO,,,,,,,,,,,
FGRC FAIRLIGHT,4277,FAIRLIGHT,NSW,2094,1844,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER FINGAL BAY,99428,FINGAL BAY,NSW,2315,1725,Friendly Grocer,,,,,,,,,,,,
IGA M FINLEY PLUS LIQUOR,5713,FINLEY,NSW,2713,384,IGA Medium,,,,,,,,,,,,
FRIENDLY GROCER WATTLE ST FLINDERS,41384,FLINDERS,NSW,2529,1823,Friendly Grocer,,,,,,,,,,,,
BERNARDIS MARKETPLACE FORBES,6104,FORBES,NSW,2871,203,Independents Other,BERNARDI,,,,,,,,,,,
FOODWORKS FOREST HILL,11644,FOREST HILL,NSW,2651,943,Foodworks,,,,,,,,,,,,
IGA L HAROLD PARK,102237,FOREST LODGE,NSW,2037,181,IGA Large,KARELLAS,,,,,,,,,,,
FGRC FORRESTERS BEACH,283855,FORRESTERS BEACH,NSW,2260,1910,Friendly Grocer,-,,,,,,,,,,,
IGA LOCAL GROCER FRENCHS FOREST,265754,FRENCHS FOREST,NSW,1639,1687,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER FRESHWATER (CAPTAINS SHOP),132876,FRESHWATER,NSW,2096,2106,Friendly Grocer,,,,,,,,,,,,
IGA M FRESHWATER (SUPERMART),183120,FRESHWATER,NSW,2096,302,IGA Medium,KARELLAS,,,,,,,,,,,
IGA LOCAL GROCER GALSTON (CHRISS),21032,GALSTON,NSW,2159,1294,IGA Local Grocer,CHRISS,,,,,,,,,,,
FOODWORKS GATESHEAD,90959,GATESHEAD,NSW,2290,1575,Foodworks,,,,,,,,,,,,
IGA L GEORGES HALL,52511,GEORGES HALL,NSW,2198,232,IGA Large,-,,,,,,,,,,,
IGA L GERRINGONG (KHAN'S),1693,GERRINGONG,NSW,2534,185,IGA Large,KHAN,,,,,,,,,,,
IGA L GILGANDRA PLUS LIQUOR (CARLO'S),14165,GILGANDRA,NSW,2827,184,IGA Large,CAVALLARO GROUP,,,,,,,,,,,
IGA GILLIESTON HEIGHTS WAREHOUSE,244372,GILLIESTON HEIGHTS,NSW,2321,963,IGA Medium,LOVEGROVE,,,,,,,,,,,
IGA M GILLIESTON HEIGHTS LOVEYS,82825,GILLIESTON HEIGHTS,NSW,2321,385,IGA Medium,LOVEGROVE,,,,,,,,,,,
FWKS GLADSTONE,68438,GLADSTONE,NSW,2440,1735,Foodworks,,,,,,,,,,,,
GLADSTONE SUPERMARKET FGRC,280674,GLADSTONE,NSW,2440,2098,Friendly Grocer,-,,,,,,,,,,,
FOODWORKS GLEBE,6173,GLEBE,NSW,2037,1769,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER GLEBE,11479,GLEBE,NSW,2037,1514,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER GLEBE,8513,GLEBE,NSW,2037,1574,IGA Local Grocer,,,,,,,,,,,,
GLEN ALPINE SUPERMARKET,13989,GLEN ALPINE,NSW,2560,2227,Independents Other,-,,,,,,,,,,,
FWKS GLENBROOK,11846,GLENBROOK,NSW,2773,1310,Foodworks,,,,,,,,,,,,
FWKS EXPRESS GLENFIELD,263611,GLENFIELD,NSW,2167,1961,Foodworks,,,,,,,,,,,,
GLENROI SUPERMARKET FWKS,290527,GLENROI,NSW,2800,2173,Foodworks,-,,,,,,,,,,,
IGA M GLOUCESTER,16545,GLOUCESTER,NSW,2422,740,IGA Medium,LOVEGROVE,,,,,,,,,,,
IGA M GOOGONG,193069,GOOGONG,NSW,2620,515,IGA Medium,,,,,,,,,,,,
FGRC GOONELLABAH + TBO,38145,GOONELLABAH,NSW,2480,1408,Friendly Grocer,RAJU HARJ PATEL,,,,,,,,,,,
IGA M GORDON PLUS LIQUOR,32445,GORDON,NSW,2072,1131,IGA Medium,,,,,,,,,,,,
FWKS BRADFORDVILLE,22354,GOULBURN,NSW,2580,1529,Foodworks,,,,,,,,,,,,
SUPABARN EXPRESS GOWRIE,21418,GOWRIE,NSW,2330,1458,Independents Other,-,,,,,,,,,,,
FRESH & SAVE GRAFTON (SHOPPINGWORLD),287587,GRAFTON,NSW,2460,74,Independents Other,GRANT PRINCE,,,,,,,,,,,
FWKS GREENACRE,3858,GREENACRE,NSW,2190,1559,Foodworks,,,,,,,,,,,,
IGA GREENFIELD PARK WAREHOUSE,208447,GREENFIELD PARK,NSW,2176,490,IGA Medium,GEORGE ACHRAM,,,,,,,,,,,
IGA M GREENFIELD PARK,32677,GREENFIELD PARK,NSW,2176,431,IGA Medium,ACHRA,,,,,,,,,,,
FWKS GREENWELL POINT,85348,GREENWELL POINT,NSW,2540,1629,Foodworks,-,,,,,,,,,,,
IGA LOCAL GROCER GREENWICH,19133,GREENWICH,NSW,2065,1095,IGA Local Grocer,GANLI,,,,,,,,,,,
GRIMA BROS W/SALE PRODUCE,184593,GREGORY HILLS,NSW,2557,2013,Foodworks,-,,,,,,,,,,,
IGA M MAWHOODS GRENFELL,2126,GRENFELL,NSW,2810,370,IGA Medium,MAWHOOD BROS,,,,,,,,,,,
FOODWORKS EAST GRESFORD,40176,GRESFORD,NSW,2311,1704,Foodworks,,,,,,,,,,,,
BP GRETA (FGRC),3771,GRETA,NSW,2334,2140,Friendly Grocer,,,,,,,,,,,,
FWKS DRIVER GRIFFITH,5637,GRIFFITH,NSW,2680,1021,Foodworks,REDDROPS,,,,,,,,,,,
FGRC GRIFFITH,6476,GRIFFITH,NSW,2680,1256,Friendly Grocer,MICHAEL SIRR,,,,,,,,,,,
FOODWORKS GRIFFITH,15270,GRIFFITH,NSW,2680,345,Foodworks,REDDROPS,,,,,,,,,,,
FOODWORKS GUILDFORD,9870,GUILDFORD,NSW,2161,1830,Foodworks,,,,,,,,,,,,
FGRC GULARGAMBONE,81988,GULARGAMBONE,NSW,2828,1594,Friendly Grocer,,,,,,,,,,,,
IGA M GULGONG,46806,GULGONG,NSW,2852,250,IGA Medium,AHMEDI,,,,,,,,,,,
FWKS GUNDAGAI,4844,GUNDAGAI,NSW,2722,1721,Foodworks,,,,,,,,,,,,
FRIENDLY GROC 4SQ GUNDAROO,38902,GUNDAROO,NSW,2620,2005,Friendly Grocer,,,,,,,,,,,,
GUNNING MOTORS (FWKS),199500,GUNNING,NSW,2581,1946,Foodworks,,,,,,,,,,,,
IGA M GUYRA,20155,GUYRA,NSW,2365,667,IGA Medium,KAUR,,,,,,,,,,,
SUPABARN GYMEA,17306,GYMEA,NSW,2227,547,Independents Other,SUPABARN GROUP,,,,,,,,,,,
HABERFIELD LOCAL STORE,270176,HABERFIELD,NSW,2045,2228,Friendly Grocer,-,,,,,,,,,,,
IGA HABERFIELD,2911,HABERFIELD,NSW,2045,1107,IGA Medium,,,,,,,,,,,,
FOODWORKS HALLIDAYS POINT,47040,HALLIDAYS POINT,NSW,2430,386,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER HAMILTON,33123,HAMILTON,NSW,2303,1330,IGA Local Grocer,RANDY PANNU,,,,,,,,,,,
IGA LOCAL GROCER HAMMONDVILLE,14969,HAMMONDVILLE,NSW,2170,1190,IGA Local Grocer,,,,,,,,,,,,
SUPABARN HARDEN,80805,HARDEN,NSW,2587,491,Independents Other,KRNC,,,,,,,,,,,
IGA L HARRINGTON WATERS (RITCHIES),85320,HARRINGTON,NSW,2427,161,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER HASSALL GROVE,43824,HASSALL GROVE,NSW,2761,1597,Friendly Grocer,HARSHIL PINDORIA,,,,,,,,,,,
FGRC HAT HEAD,268688,HAT HEAD,NSW,2440,1786,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER HAWKS NEST,11168,HAWKS NEST,NSW,2324,951,IGA Local Grocer,LOVEGROVE,,,,,,,,,,,
FOODWORKS PLUS LIQUOR HAY,2050,HAY,NSW,2711,1037,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER THAI KEE,813,HAYMARKET,NSW,1208,1132,IGA Local Grocer,GONG GROCER,,,,,,,,,,,
FOODWORKS HAZELBROOK,6136,HAZELBROOK,NSW,2779,814,Foodworks,,,,,,,,,,,,
IGA M HEATHCOTE,21213,HEATHCOTE,NSW,2233,845,IGA Medium,,,,,,,,,,,,
FWKS HEBERSHAM,41844,HEBERSHAM,NSW,2770,1672,Foodworks,,,,,,,,,,,,
FGRC HILL TOP,43462,HILL TOP,NSW,2575,1583,Friendly Grocer,,,,,,,,,,,,
IGA M HILLSTON,4283,HILLSTON,NSW,2675,763,IGA Medium,PAREKH GROUP,,,,,,,,,,,
IGA M HOLBROOK STORES PLUS LIQ,20685,HOLBROOK,NSW,2644,614,IGA Medium,MICK DARE,,,,,,,,,,,
IGA M HORSLEY PARK (CARLO'S),53176,HORSLEY PARK,NSW,2175,1733,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
IGA M HOWLONG PLUS LIQUOR,38531,HOWLONG,NSW,2643,462,IGA Medium,DEALY,,,,,,,,,,,
IGA LOCAL GROCER HUNTERS HILL,11876,HUNTERS HILL,NSW,2110,1326,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER HURLSTONE PARK,17948,HURLSTONE PARK,NSW,2193,1395,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER HUSKISSON,17986,HUSKISSON,NSW,2540,1867,Friendly Grocer,,,,,,,,,,,,
IGA M ILUKA PLUS CBN,1629,ILUKA,NSW,2466,425,IGA Medium,MATT RIDDERHOF,,,,,,,,,,,
IGA L INVERELL (RITCHIES),19493,INVERELL,NSW,2360,280,IGA Large,RITCHIES,,,,,,,,,,,
IGA LOCAL GROCER JAMBEROO,33302,JAMBEROO,NSW,2533,976,IGA Local Grocer,FREDERICKS,,,,,,,,,,,
KINETIC TRADING JAMISONTOWN (FWKS),228777,JAMISONTOWN,NSW,2750,2200,Foodworks,KINET,,,,,,,,,,,
IGA M JERILDERIE PLUS LIQUOR,17167,JERILDERIE,NSW,2716,1039,IGA Medium,AIMS ASSOC,,,,,,,,,,,
FGRC JINDABYNE,82309,JINDABYNE,NSW,2627,1496,Friendly Grocer,,,,,,,,,,,,
IGA M JINDERA PLUS LIQUOR,37924,JINDERA,NSW,2642,593,IGA Medium,BOB MATHEWS,,,,,,,,,,,
FRIENDLY GROCER JUNCTION HILL,187609,JUNCTION HILL,NSW,2460,1911,Friendly Grocer,,,,,,,,,,,,
IGA M JUNEE,862,JUNEE,NSW,2663,168,IGA Medium,,,,,,,,,,,,
FGRC KAHIBAH,14074,KAHIBAH,NSW,2290,1698,Friendly Grocer,,,,,,,,,,,,
IGA M KAMBAH PLUS LIQUOR,6591,KAMBAH,NSW,NO MATCH,1545,IGA Medium,RICKY SINGH,,,,,,,,,,,
IGA M KANDOS,33575,KANDOS,NSW,2848,449,IGA Medium,AHMEDI,,,,,,,,,,,
FRIENDLY GROCER KANGAROO VALLEY,41129,KANGAROO VALLEY,NSW,2577,1753,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER KANWAL,43750,KANWAL,NSW,2259,757,IGA Local Grocer,TCG GROUP,,,,,,,,,,,
SUPABARN KARABAR,20664,KARABAR,NSW,2620,586,Independents Other,-,,,,,,,,,,,
FOODWORKS KARIONG,40602,KARIONG,NSW,2250,1243,Foodworks,RANDY PANNU,,,,,,,,,,,
IGA M KARUAH,53187,KARUAH,NSW,2324,824,IGA Medium,MEHTAB,,,,,,,,,,,
CAMPUS & CO KATOOMBA,236362,KATOOMBA,NSW,2780,2142,Foodworks,,,,,,,,,,,,
IGA M KEARNS,20942,KEARNS,NSW,2558,1075,IGA Medium,,,,,,,,,,,,
FGRC KEIRAVILLE,8045,KEIRAVILLE,NSW,2500,1232,Friendly Grocer,,,,,,,,,,,,
FOODWORKS KELSO,21433,KELSO,NSW,2795,1378,Foodworks,,,,,,,,,,,,
IGA M THOMLECK TRINITY HEIGHTS,21702,KELSO,NSW,2795,452,IGA Medium,THOMLECK,,,,,,,,,,,
VILLAGE GROCER KEMPS CREEK,84747,KEMPS CREEK,NSW,2178,1556,Independents Other,,,,,,,,,,,,
IGA L KEMPSEY CENTRAL,5674,KEMPSEY,NSW,2440,566,IGA Large,LOVEGROVE,,,,,,,,,,,
FOODWORKS KENSINGTON (ANZAC PDE),25647,KENSINGTON,NSW,1465,1883,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER UNSW KENSINGTON,90060,KENSINGTON,NSW,1465,908,IGA Local Grocer,KAUR,,,,,,,,,,,
FOODWORKS KENTHURST,21808,KENTHURST,NSW,2156,1489,Foodworks,,,,,,,,,,,,
FWKS KIAMA DOWNS,21491,KIAMA DOWNS,NSW,2533,1189,Foodworks,RABAY,,,,,,,,,,,
IGA LOCAL GROCER KIAMA DOWNS,4710,KIAMA DOWNS,NSW,2533,999,IGA Local Grocer,LEE SAUNDERS,,,,,,,,,,,
IGA LOCAL GROCER KINCUMBER PLUS CBN,227927,KINCUMBER,NSW,2251,988,IGA Local Grocer,,,,,,,,,,,,
FWKS SOLANDER,43796,KINGS LANGLEY,NSW,2147,1893,Foodworks,-,,,,,,,,,,,
IGA LOCAL GROCER KINGSFORD,12820,KINGSFORD,NSW,2032,1086,IGA Local Grocer,,,,,,,,,,,,
ROMEO'S LOCAL GROCER IGA KIRRIBILLI,297488,KIRRIBILLI,NSW,2061,1782,IGA Local Grocer,ROMEO,,,,,,,,,,,
FOODWORKS KOONAWARRA,107576,KOONAWARRA,NSW,2530,1275,Foodworks,,,,,,,,,,,,
IGA M KOOTINGAL,15423,KOOTINGAL,NSW,2352,818,IGA Medium,,,,,,,,,,,,
FGRC KURNELL,363,KURNELL,NSW,2231,1694,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER KURRAJONG,33148,KURRAJONG,NSW,2758,1577,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER KURRAJONG HEIGHTS,178651,KURRAJONG HEIGHTS,NSW,2758,1662,IGA Local Grocer,RICKY SINGH,,,,,,,,,,,
IGA L KYOGLE (RITCHIES),295,KYOGLE,NSW,2474,26,IGA Large,RITCHIES,,,,,,,,,,,
FOODWORKS LAKE ALBERT WAGGA,21490,LAKE ALBERT,NSW,2650,456,Foodworks,,,,,,,,,,,,
CAMPUS & CO LAKE CARGELLIGO (FWKS),249800,LAKE CARGELLIGO,NSW,2672,2118,Foodworks,,,,,,,,,,,,
IGA M LAKE CARGELLIGO,10164,LAKE CARGELLIGO,NSW,2672,589,IGA Medium,PAREKH GROUP,,,,,,,,,,,
SUPERCELLARS LAKE CARGELLIGO FWKS,16146,LAKE CARGELLIGO,NSW,2672,2051,Foodworks,PAREKH GROUP,,,,,,,,,,,
FRIENDLY GROCER LAKE CONJOLA,16243,LAKE CONJOLA,NSW,2539,2049,Friendly Grocer,,,,,,,,,,,,
LOCALMART LAKE ILLAWARRA (FOODWORKS ASSOC),41150,LAKE ILLAWARRA,NSW,2528,1990,Foodworks,,,,,,,,,,,,
IGA M LALOR PARK,15620,LALOR PARK,NSW,2147,835,IGA Medium,,,,,,,,,,,,
CENTRO LANE COVE FGRC,253884,LANE COVE,NSW,1595,2222,Friendly Grocer,KHASS,,,,,,,,,,,
IGA LOCAL GROCER LANE COVE,111375,LANE COVE,NSW,1595,1807,IGA Local Grocer,-,,,,,,,,,,,
FGRC LAWRENCE GENERAL,39589,LAWRENCE,NSW,2460,1710,Friendly Grocer,-,,,,,,,,,,,
IGA  M LAWSON,46248,LAWSON,NSW,2783,815,IGA Medium,ALIKOZAY,,,,,,,,,,,
IGA L GOLDEN APPLE LEETON,22168,LEETON,NSW,2705,183,IGA Large,,,,,,,,,,,,
CAMPUS & CO LEETON (FWKS),253624,LEETON,NSW,2705,2086,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER LEICHHARDT,2971,LEICHHARDT,NSW,2040,1633,IGA Local Grocer,,,,,,,,,,,,
LEMON TREE GROCER (FGRC),16508,LEMON TREE,NSW,2259,1667,Friendly Grocer,,,,,,,,,,,,
FRIENDLY GROCER LENNOX HEADS,18382,LENNOX HEAD,NSW,2478,1170,Friendly Grocer,-,,,,,,,,,,,
BERNIES LEUMEAH (FWKS),260615,LEUMEAH,NSW,2560,2176,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER LEUMEAH,6896,LEUMEAH,NSW,2560,1098,IGA Local Grocer,,,,,,,,,,,,
IGA M LIGHTNING RIDGE,12762,LIGHTNING RIDGE,NSW,2834,78,IGA Medium,KHAN,,,,,,,,,,,
IGA LOCAL GROCER LILLI PILLI,14312,LILLI PILLI,NSW,2229,886,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER LILYFIELD,12808,LILYFIELD,NSW,2040,2008,Friendly Grocer,,,,,,,,,,,,
IGA M LILYFIELD,84565,LILYFIELD,NSW,2040,974,IGA Medium,MOONS,,,,,,,,,,,
IGA M LINDFIELD (SUPAMART IGA LINDFIELD),21544,LINDFIELD,NSW,2070,277,IGA Medium,KARELLAS,,,,,,,,,,,
CAMPUS & CO LITHGOW FWKS,282269,LITHGOW,NSW,2790,2083,Foodworks,-,,,,,,,,,,,
FOODWORKS LITTLE BAY,52882,LITTLE BAY,NSW,2036,891,Foodworks,,,,,,,,,,,,
FGRC LLANDILO PLUS TCE,8743,LLANDILO,NSW,2747,1821,Friendly Grocer,MALWA,,,,,,,,,,,
IGA M LOCKHART PLUS LIQUOR,4130,LOCKHART,NSW,2656,684,IGA Medium,MALWA,,,,,,,,,,,
IGA M LUDDENHAM PLUS LIQUOR,40484,LUDDENHAM,NSW,2745,905,IGA Medium,AHMEDI,,,,,,,,,,,
IGA LOCAL GROCER LUGARNO,809,LUGARNO,NSW,2210,1057,IGA Local Grocer,ALIKOZAY,,,,,,,,,,,
FRIENDLY GROCER LURNEA,14630,LURNEA,NSW,2170,1991,Friendly Grocer,,,,,,,,,,,,
FOODWORKS MACKSVILLE,5656,MACKSVILLE,NSW,2447,394,Foodworks,,,,,,,,,,,,
IGA M EAST MAITLAND,20119,MAITLAND,NSW,2320,828,IGA Medium,UNIMARK GROUP,,,,,,,,,,,
CAMPUS & CO MAITLAND (FWKS,237962,MAITLAND,NSW,2320,2087,Foodworks,,,,,,,,,,,,
FWKS MALABAR,3748,MALABAR,NSW,2036,1659,Foodworks,,,,,,,,,,,,
FWKS MALUA BAY,32421,MALUA BAY,NSW,2536,1216,Foodworks,,,,,,,,,,,,
HUB AT MANGROVE MOUNTAIN (FGRC),1524,MANGROVE MOUNTAIN,NSW,2250,1898,Friendly Grocer,,,,,,,,,,,,
IGA M MANILLA PLUS LIQUOR (CARLO'S),6106,MANILLA,NSW,2346,407,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
FRIENDLY GROCER MANNERING PARK,53086,MANNERING PARK,NSW,2259,2191,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER MANNERING PARK,82907,MANNERING PARK,NSW,2259,1029,IGA Local Grocer,MUSAWER (SAM) ALIKOZAY,,,,,,,,,,,
GREENER GROCER MAROUBRA (FWKS),16533,MAROUBRA,NSW,2035,2088,Foodworks,,,,,,,,,,,,
TRAFALGAR SMKT & CELLARS FGRC,21331,MARSFIELD,NSW,2122,1903,Friendly Grocer,,,,,,,,,,,,
IGA M MARULAN,193073,MARULAN,NSW,2579,706,IGA Medium,,,,,,,,,,,,
IGA M MASCOT,444,MASCOT,NSW,1460,785,IGA Medium,,,,,,,,,,,,
IGA LOCAL GROCER MASCOT,84035,MASCOT,NSW,1460,1602,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER MCMAHON'S POINT,200566,MCMAHONS POINT,NSW,2060,1889,Friendly Grocer,ASCHN,,,,,,,,,,,
IGA L MEADOWBANK,53363,MEADOWBANK,NSW,2114,841,IGA Large,-,,,,,,,,,,,
WHOLEFARMS MENAI FWKS,33195,MENAI,NSW,2234,1318,Foodworks,-,,,,,,,,,,,
IGA M MEREWETHER,72118,MEREWETHER,NSW,2291,1097,IGA Medium,HARSH PATEL,,,,,,,,,,,
IGA M MERRIWA PLUS LIQUOR,1100,MERRIWA,NSW,2329,646,IGA Medium,-,,,,,,,,,,,
IGA M MERRYLANDS,24058,MERRYLANDS,NSW,2160,455,IGA Medium,-,,,,,,,,,,,
METFORD MINIMART (FGRC),266474,METFORD,NSW,2323,2001,Friendly Grocer,-,,,,,,,,,,,
IGA LOCAL GROCER MIDWAY,227059,MIDWAY,NSW,2720,1288,IGA Local Grocer,QIN GROUP,,,,,,,,,,,
IGA LOCAL GROCER MILLTHORPE,92468,MILLTHORPE,NSW,2798,1281,IGA Local Grocer,ASHCROFT,,,,,,,,,,,
FRIENDLY GROCER MILPERRA,32981,MILPERRA,NSW,1891,1650,Friendly Grocer,,,,,,,,,,,,
WHOLEFARMS MARKET MILPERRA (FWKS),254678,MILPERRA,NSW,1891,1142,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER MILSONS POINT,36589,MILSONS POINT,NSW,1565,1587,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
IGA LOCAL GROCER MILSONS POINT,239417,MILSONS POINT,NSW,1565,1122,IGA Local Grocer,KHASS,,,,,,,,,,,
IGA MILTON PLUS LIQUOR,16651,MILTON,NSW,2538,367,IGA Medium,MALWA,,,,,,,,,,,
IGA LOCAL GROCER MINCHINBURY,44596,MINCHINBURY,NSW,2770,1193,IGA Local Grocer,HARSHIL PINDORIA,,,,,,,,,,,
MOLLYMOOK FRESH SMKT FWKS,32419,MOLLYMOOK,NSW,2539,1427,Foodworks,-,,,,,,,,,,,
IGA M MOLONG,86513,MOLONG,NSW,2866,526,IGA Medium,AHMEDI,,,,,,,,,,,
FGRC MOONBI GENERAL STORE,66700,MOONBI,NSW,2353,1777,Friendly Grocer,,,,,,,,,,,,
IGA M MORTDALE,18681,MORTDALE,NSW,2223,352,IGA Medium,ROMEO,,,,,,,,,,,
POWERS IGA MORUYA,46207,MORUYA,NSW,2537,508,IGA Large,THOMLECK,,,,,,,,,,,
FRIENDLY GROCER MOSMAN,33399,MOSMAN,NSW,2088,1930,Friendly Grocer,,,,,,,,,,,,
IGA MOSMAN,33270,MOSMAN,NSW,2088,691,IGA Medium,,,,,,,,,,,,
IGA L MOSS VALE PLUS LIQUOR,18993,MOSS VALE,NSW,2577,314,IGA Large,BENGR,,,,,,,,,,,
CAMPUS & CO MOSS VALE (FW,246745,MOSS VALE,NSW,2577,2153,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER LANGTRYS MOULAMEIN,41110,MOULAMEIN,NSW,2733,1693,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER MT DRUITT,1861,MOUNT DRUITT,NSW,2770,1603,Friendly Grocer,,,,,,,,,,,,
FWKS MUDGEE,83276,MUDGEE,NSW,2850,1264,Foodworks,-,,,,,,,,,,,
FRIENDLY GROCER MULGOA,21384,MULGOA,NSW,2745,1899,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER MULLUMBIMBY,19472,MULLUMBIMBY,NSW,2482,716,IGA Local Grocer,-,,,,,,,,,,,
FWKS MULWALA,13992,MULWALA,NSW,2647,1159,Foodworks,,,,,,,,,,,,
