Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
IGA LOCAL GROCER BUNDEENA,98499,BUNDEENA,NSW,2230,907,IGA Local Grocer,,,,,,,,,,,,
IGA L BUNGENDORE,83268,BUNGENDORE,NSW,2621,92,IGA Large,WHITEHEAD,,,,,,,,,,,
IGA M MIDWAY PLUS LIQUOR,21575,BURONGA,NSW,2739,387,IGA Medium,,,,,,,,,,,,
FGRC BURWOOD,193067,BURWOOD,NSW,2134,2209,Friendly Grocer,,,,,,,,,,,,
FWKS BUXTON,52524,BUXTON,NSW,2571,1417,Foodworks,,,,,,,,,,,,
IGA M BYRON BAY,18812,BYRON BAY,NSW,2481,344,IGA Medium,RAJ GROUP,,,,,,,,,,,
IGA M CALALA (CARLO'S),21380,CALALA,NSW,2340,629,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
IGA M CALLALA BAY,14882,CALLALA BAY,NSW,2540,576,IGA Medium,WHITEHEAD,,,,,,,,,,,
CAMBRIDGE PARK SUPERMARKET FGRC,72148,CAMBRIDGE PARK,NSW,2747,1919,Friendly Grocer,,,,,,,,,,,,
IGA M CAMERON PARK,103541,CAMERON PARK,NSW,2285,1219,IGA Medium,GLEND,,,,,,,,,,,
IGA LOCAL GROCER EAST CAMPBELLTOWN,92268,CAMPBELLTOWN,NSW,2560,1165,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER CAMPERDOWN,12352,CAMPERDOWN,NSW,2050,1578,Friendly Grocer,NARINDER SINGH,,,,,,,,,,,
FOODWORKS CANOWINDRA,20010,CANOWINDRA,NSW,2804,899,Foodworks,PAREKH GROUP,,,,,,,,,,,
IGA LOCAL GROCER CANOWINDRA (LAWRENCE'S),12879,CANOWINDRA,NSW,2804,916,IGA Local Grocer,,,,,,,,,,,,
FGRC CARDIFF,52999,CARDIFF,NSW,2285,1859,Friendly Grocer,SARDAR,,,,,,,,,,,
CAREY BAY FWKS,290642,CAREY BAY,NSW,2283,1873,Foodworks,luthra group pty ltd,,,,,,,,,,,
FGRC CARLINGFORD NORTH,21387,CARLINGFORD NORTH,NSW,2118,2182,Friendly Grocer,,,,,,,,,,,,
TONG LI SUPERMARKET (CASTLE HILL),226890,CASTLE HILL,NSW,2154,1456,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER CAVES BEACH PLUS LIQUOR,103563,CAVES BEACH,NSW,2281,1621,IGA Local Grocer,HARPREET SINGH,,,,,,,,,,,
IGA L + LIQ CESSNOCK (RITCHIES),7784,CESSNOCK,NSW,2325,350,IGA Large,RITCHIES,,,,,,,,,,,
FRIENDLY GROCER METRO CESSNOCK,38536,CESSNOCK,NSW,2325,2042,Friendly Grocer,,,,,,,,,,,,
FWKS CHARLOTTE BAY,183111,CHARLOTTE BAY,NSW,2428,1018,Foodworks,RICKY SINGH,,,,,,,,,,,
FWKS CHARMHAVEN,193690,CHARMHAVEN,NSW,2263,1934,Foodworks,,,,,,,,,,,,
IGA M CHATHAM (CARLO'S),32812,CHATHAM,NSW,2430,2213,IGA Medium,CAVALLARO GROUP,,,,,,,,,,,
