Storeid,StoreName,State,ENERGIZER_1_sales,ENERGIZER_1 suggest,ENERGIZER_2_sales,ENERGIZER_2 suggest,ENERGIZER_3_sales,ENERGIZER_3 suggest,ENERGIZER_4_sales,ENERGIZER_4 suggest,EVEREADY_1_sales,EVEREADY_1_suggest,ARMORALL_1_sales,ARMORALL_1_suggest,ARMORALL_2_sales,ARMORALL_2_suggest,JELLYBELLY_1_sales,JELLYBELLY_1_suggest,TORCH_1_sales,TORCH_1_suggest
48120,IGA RIVERTON (GRANT)  209163,WA,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48277,IGA ALL FOODS MARKET BELMONT (GRANT) 209422,WA,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
48279,IGA LEEMING (GRANT)  135127,WA,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48278,IGA COOLOONGUP (GRANT)  125393,WA,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
48145,IGA OCONNOR FRESH (KALG) 126462,WA,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48332,IGA TUCKER FRESH ROSSMOYNE (SINGH)  204900,WA,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
85074,IGA TUCKER FRESH CANNINGVALE NICHOLSON RD 211214,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
176978,IGA TUCKER FRESH TREEBY 211761,WA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
83459,IGA CURTIN UNIVERSITY 210455,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
99928,FOODWORKS BUTLER (FARMER JACKS) 212830,WA,3,1,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0
83550,FOODWORKS CURRAMBINE (FARMER JACKS)  203416,WA,1,1,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0
176566,FOODWORKS ASHBY (FARMER JACKS) 206792,WA,2,1,1,1,0,0,2,2,0,0,3,3,0,0,0,0,0,0
48130,IGA ROCKINGHAM 207608,WA,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
50928,FOODWORKS SUBIACO (FARMER JACKS)  122459,WA,3,1,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0
48092,FOODWORKS LANDSDALE (FARMER JACKS)  201367,WA,2,1,1,1,0,0,2,2,0,0,3,3,0,0,0,0,0,0
50553,FOODWORKS WOODLANDS (FARMER JACKS)  118664,WA,3,1,1,1,0,0,2,2,0,0,3,3,0,0,0,0,0,0
48117,FOODWORKS GWELUP (FARMER JACKS)  204315,WA,3,1,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0
49967,IGA CRAWLEY BROADWAY 122386,WA,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48077,IGA BEECHBORO 209597,WA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
84769,FOODWORKS COMO (FARMER JACKS) 210757,WA,1,1,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0
48131,IGA DUNCRAIG CARINE 196665,WA,2,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
48128,FOODWORKS NORTH BEACH (FARMER JACKS)  200468,WA,2,1,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0
10446,IGA GOOD GROCER LEEDERVILLE 210650,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
83444,GOOD GROCER SECOND AVE (BRINDLE) 210935,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48098,GOOD GROCER MOUNT PLEASANT (BRINDLE) 210382,WA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50827,FOODWORKS CLAREMONT (FARMER JACKS)  136174,WA,2,1,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0
48084,GOOD GROCER WEMBLEY (BRINDLE)  202274,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
48235,GOOD GROCER BOULEVARD (BRINDLE) 210994,WA,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5354,GOOD GROCER SHENTON PARK (BRINDLE)  204013,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48098,GOOD GROCER MOUNT PLEASANT (BRINDLE) 210382,WA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
